name,lat,lon
NIGHT MELON l ไนท์เมล่อน,13.807264,100.616063
ใบพลูเมล่อน,13.896911,100.70809
สวนเมล่อนบ้านโกหน่อง,13.862797,100.714892
ICHIKUN Melon อิจิคุงเมล่อน ฟาร์มเมล่อนออร์แกนิค,13.860371,100.707547
Bang Wa Melon • บางหว้าเมล่อน,13.730599,100.450181
แสงตะวันฟาร์ม เมล่อนสาย4,13.745634,100.33791
เมล่อน สามพราน Melon Samphran,13.775608,100.308158
เมล่อน B&B Farm,13.795426,100.280835
เมล่อนดาดฟ้า by nopsan168,13.79144,100.282671
Mina me melon มีนามีเมล่อน,13.808639,100.102542
พงษ์ลัดดาเมล่อนฟาร์ม,13.727104,100.238574
ณมณฑ์ เมล่อน ฟาร์ม สามพราน,13.694765,100.201304
I am MELON farm,13.748587,100.21399
มาลีเมล่อนฟาร์ม,13.707231,100.220987
Arma Farmstay,13.789008,100.217556
ฟาร์มเบอร์ดี้เมล่อน,13.670914,100.236077
เมล่อนบ้านเกาะฟาร์ม,13.571551,100.213918
ศศิพิมพ์เมล่อนฟาร์ม,13.532287,100.289751
เมล่อนฟาร์ม เพชรหึงษ์33,13.686281,100.566319
นิรันดร์ ฟาร์มเมล่อน,13.975982,100.440139
สวนเมล่อน อนุรักษ์,13.980969,100.356196
ฟาร์มเมล่อนคุณแชมป์,14.034262,100.357658
เอ็ม เมล่อน ฟาร์ม รังสิตคลอง3,14.048877,100.653633
ฟาร์มลุงแดง เมล่อน&ผักสลัด,14.156954,100.745661
บ้านสวน เมล่อน อ.บ้านโพธิ์,13.623677,101.088962
ศิริโสธรเมล่อนฟาร์ม,13.670353,101.070098
บ้านเสือเมล่อนฟาร์ม,13.697428,101.047692
สวนปิยภรณ์ เฮ้าเมล่อน,13.687427,101.13312
Melon Hausu Farm メロンハウス - เมล่อน เฮาส์ซึ ฟาร์ม,13.825607,101.217093
บ้านนี้มีรักฟาร์มสุขสำราญ,13.825699,101.216706
บ้านเมล่อน Baan Melon,13.746713,101.479752